UTC_Seconds_Of_Day,Latitude(deg),Longitude(deg),WGS84_Ellipsoid_Height(m),South-to-North_Slope,West-to-East_Slope,RMS_Fit(cm),Number_Of_ATM_Measurments_Used,Number_Of_ATM_Measurements_Removed,Distance_Of_Block_To_The_Right_Of_Aircraft(m),Track_Identifier
54982.75,69.24344,310.359254,326.4805,0.2778162,0.0528027,477.81,2114,14,31,2
54982.75,69.243534,310.361189,336.0291,0.2012105,0.1110208,506.52,3492,57,-46,3
54982.75,69.243478,310.360026,329.8134,0.2793064,0.0834628,527.06,2303,25,0,0
54983,69.243001,310.357474,309.0111,0.1673343,0.1924942,530.86,3554,16,107,1
54983,69.243097,310.359449,318.6787,0.1878402,0.0551054,421.08,2107,68,28,2
54983,69.243193,310.361424,330.2453,0.2474369,0.1124885,507.04,3447,39,-50,3
54983,69.243131,310.36016,321.5708,0.2411362,0.1154274,536.62,2279,26,0,0
54983.25,69.242652,310.357571,301.2213,0.248921,0.1426347,452.94,3531,12,108,1
54983.25,69.242749,310.35956,311.7261,0.1687579,0.0753401,336.28,2103,108,29,2
54983.25,69.242846,310.36155,322.6472,0.2013556,0.1287332,397.96,3439,107,-50,3
54983.25,69.242785,310.360294,314.8559,0.1631546,0.1005323,343.47,2165,141,0,0
54983.5,69.242302,310.357629,291.3963,0.2987091,0.1261065,340.49,3455,35,111,1
54983.5,69.242401,310.359649,304.5609,0.2010524,0.0919969,337.34,2055,93,31,2
54983.5,69.2425,310.361669,315.1147,0.1763144,0.1223571,305.95,3441,149,-49,3
54983.5,69.242439,310.360428,307.9266,0.1648846,0.0904873,356.92,2139,88,0,0
54983.75,69.241953,310.357685,281.2358,0.2825446,0.1674948,346.5,3404,25,114,1
54983.75,69.242053,310.359737,296.6285,0.2561263,0.1133272,290.87,2135,13,33,2
54983.75,69.242154,310.361788,308.8847,0.2003548,0.1150146,311.47,3496,118,-49,3
54983.75,69.242094,310.360563,301.4675,0.218814,0.1171612,322.54,2165,30,0,0
54984,69.241607,310.357806,271.684,0.2385204,0.1689498,282.36,3406,46,115,1
54984,69.241709,310.35989,288.0133,0.2482173,0.145542,237.88,2090,48,32,2
54984,69.241811,310.361975,301.4912,0.2281495,0.1046789,273.79,3609,15,-51,3
54984,69.241749,310.360697,293.4467,0.2525916,0.1350636,245.22,2136,41,0,0
54984.25,69.241259,310.35789,263.0219,0.2283465,0.1825155,266.23,3312,60,117,1
54984.25,69.241365,310.360052,279.6744,0.2284673,0.1509245,246.2,2082,28,31,2
54984.25,69.241471,310.362214,293.5909,0.2409403,0.1193763,267.93,3576,22,-55,3
54984.25,69.241404,310.360832,284.9114,0.2286837,0.1335533,270.84,2058,13,0,0
54984.5,69.240916,310.358038,257.0844,0.1879953,0.2029715,316.84,3153,74,116,1
54984.5,69.241023,310.360228,272.8347,0.188776,0.1328601,261.55,2111,14,29,2
54984.5,69.24113,310.362418,285.8562,0.2449277,0.0698605,324.97,3530,9,-58,3
54984.5,69.241059,310.360966,277.4903,0.204471,0.1362859,263.6,2036,15,0,0
54984.75,69.240572,310.358192,251.2127,0.1758823,0.2250336,429.41,3062,131,116,1
54984.75,69.240682,310.360422,267.8263,0.1370705,0.1305716,301.86,1982,59,27,2
54984.75,69.240791,310.362651,277.8182,0.2232608,0.0309109,351.14,3462,4,-62,3
54984.75,69.240715,310.361101,271.1428,0.158652,0.1147033,245.67,1859,85,0,0
54985,69.240229,310.358335,244.8482,0.1699001,0.2192809,563.5,3075,39,115,1
54985,69.240339,310.360582,263.5761,0.1029519,0.1137231,386.72,1950,50,26,2
54985,69.240449,310.36283,270.2845,0.1992463,0.0156759,388.88,3410,4,-63,3
54985,69.240371,310.361235,266.02,0.1347751,0.091291,310.7,1801,80,0,0
54985.25,69.23989,310.35855,240.8724,0.1943933,0.2262289,528.91,3168,51,112,1
54985.25,69.24,310.360807,260.1021,0.1074184,0.0810622,442.77,1869,47,22,2
54985.25,69.240111,310.363065,264.3703,0.1432529,0.0270918,444.24,3280,11,-67,3
54985.25,69.240028,310.361369,262.1952,0.1064595,0.0510322,382.27,1699,71,0,0
54985.5,69.239547,310.358697,235.148,0.1721187,0.2505036,505.33,3294,23,112,1
54985.5,69.239659,310.360981,256.6978,0.1168824,0.0769569,502.75,1889,45,21,2
54985.5,69.239771,310.363266,259.453,0.1027879,0.0420396,412.67,3243,25,-70,3
54985.5,69.239685,310.361502,258.6962,0.1036181,0.0300619,463.67,1631,59,0,0
54985.75,69.239212,310.358985,231.4374,0.1833517,0.2593472,403.86,3436,29,105,1
54985.75,69.239322,310.361226,252.3985,0.1222161,0.0652617,544.48,1845,41,16,2
54985.75,69.239432,310.363466,256.4499,0.0640175,0.0560943,441.15,3254,22,-73,3
54985.75,69.239342,310.361636,253.6941,0.1078887,0.0524655,541.51,1618,48,0,0
54986,69.238871,310.359133,227.2027,0.166615,0.2950535,322.2,3415,67,105,1
54986,69.238981,310.36139,248.5829,0.1141015,0.0579192,674.63,1863,18,15,2
54986,69.239092,310.363647,254.5762,0.0560133,0.0696071,453.9,3304,14,-75,3
54986,69.239,310.361769,249.4688,0.1490147,0.1058947,609.44,1596,28,0,0
54986.25,69.23853,310.359279,222.9906,0.1618679,0.3244076,355.1,3284,84,104,1
54986.25,69.238641,310.36156,245.3148,0.0957558,0.0500595,671.09,1981,12,14,2
54986.25,69.238753,310.363842,253.4185,0.0295496,0.0257758,428.63,3356,27,-77,3
54986.25,69.238658,310.361902,245.6361,0.1259422,0.1357897,593.05,1691,18,0,0
54986.5,69.238189,310.359418,218.6087,0.1500436,0.3317946,375.48,3290,81,104,1
54986.5,69.238301,310.361713,242.1518,0.0683042,0.1117647,699.82,1999,12,13,2
54986.5,69.238413,310.364007,252.0861,0.0481935,0.0513581,476.79,3394,25,-78,3
54986.5,69.238317,310.362035,242.8791,0.0563973,0.1830188,571.97,1690,17,0,0
54986.75,69.23785,310.359591,215.3723,0.1569246,0.319076,390.43,3303,85,103,1
54986.75,69.237963,310.361898,239.4344,0.1022555,0.1754888,684.38,2056,14,11,2
54986.75,69.238075,310.364206,249.3205,0.0868181,0.0661681,450.8,3375,38,-81,3
54986.75,69.237976,310.362168,240.8058,0.0603362,0.2152744,483.3,1728,41,0,0
54987,69.237513,310.359775,211.8128,0.1330428,0.3102741,362.89,3362,83,100,1
54987,69.237625,310.362092,236.3724,0.1189872,0.2287891,460.85,2019,70,8,2
54987,69.237738,310.364409,247.0597,0.0889876,0.0656789,465.68,3363,27,-84,3
54987,69.237635,310.3623,238.4371,0.1064738,0.2130174,431.6,1745,44,0,0
54987.25,69.237177,310.359984,208.9273,0.135903,0.3053422,323.44,3479,88,97,1
54987.25,69.237291,310.362334,234.0538,0.1545447,0.2304328,370.68,1948,91,4,2
54987.25,69.237405,310.364684,244.2292,0.0969031,0.1020725,417,3222,55,-90,3
54987.25,69.237295,310.362431,235.5126,0.1600811,0.2179221,340.37,1664,66,0,0
54987.5,69.236837,310.36012,205.7814,0.1548192,0.3395431,310.52,3340,170,97,1
54987.5,69.236951,310.362476,229.3534,0.1469963,0.2050105,354.32,1944,76,3,2
54987.5,69.237065,310.364833,241.174,0.067673,0.1438987,469.44,3292,0,-90,3
54987.5,69.236956,310.362562,230.4196,0.1554326,0.1963375,319.66,1669,60,0,0
